found_helpfuls,names,product_link,product_name,ratings,review_contents,titles,user_links
5,Kat Brown,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",1.0 out of 5 stars,<span>This workbook isn’t a wipeable book as described. Please change your description so people don’t make a mistake of ordering this thinking they are going to get what you are claiming.</span>,Not as described,/gp/profile/amzn1.account.AEYDNIWMHEYDON3CN74DEZOQVZUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
2,Ashley,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>I’m extremely happy with this book. The activities are age/skill level appropriate, the pages are vibrant with good quality printing. My 4 year old son enjoys working in this book a lot. If I had to pick one thing I didn’t like about it, it would be that they intended for kids to work in the book; I’d much prefer perforated pages because we are taking them out to work on clipboards.</span>",Great Book and Impressive Quality,/gp/profile/amzn1.account.AGJKUOUMRNWL3S3LZ6MGUGQ2CJ3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8
2,jaclyn,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Great book. I love the first couple of pages and how it introduces hand writing to kids and makes it fun. It starts off with zig zag lines and curved lines, but in a fun and colorful way. Then it moves in to shapes. Then it has the ABCs. I’m using this book to improve my 3 year old handwriting skills and she loves it. She didn’t like writing before it. I’ve seen a major improvement.</span>",Definitely recommend.,/gp/profile/amzn1.account.AETJIC3NFRQHIATZOUVJVJXMNZCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
2,Courtney Solstad,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Bought this book for my 4 yr old. He missed a big portion of the school year and needed help with writing his letters. I love that this one is not just letters. There are other practice options! He loved the cars page, best! He is doing a little each day and I am excited to buy more from this author!</span>",Perfect for Preschoolers!,/gp/profile/amzn1.account.AEZZUTJ377AXUWWGJTSHWXLQDQWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
1,E R Copeland,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",2.0 out of 5 stars,"<span>Super disappointed with this workbook. The picture examples of the product show five pre writing pages with fun and colorful tracing activities, which is why I bought the book. Those are the only pre writing pages- the rest are boring letter practice and letter tracing- not something my 3 year old is ready for yet. So many better options out there that encourage fun while learning.</span>",Boring and misleading,/gp/profile/amzn1.account.AFRXUIDTPZD2SZ5JPETUOZ6IRRNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
3,1243,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",4.0 out of 5 stars,"<span>It has a lot of different exercise for kids to do. There's shapes, letters and numbers. It's a thick book. My 4 year old had an easy time tracing everything.</span>",Easy for toddlers. A lot of material to trace,/gp/profile/amzn1.account.AHXT7RSE7NTEQYR2OB2X4TRUBWZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Kindle Customer,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",3.0 out of 5 stars,"<span>A bit pricey for the activities on this book but, over it's an OK book. The best parts of this workbook are the pre-handwriting illustrations which are great but very few, everything else is regular alphabet tracking illustrations which you can find in any dollar store activity book. The book is a regular size 8x11 and not very thick either. But overall OK, so not a total waste of money, I just wish there had been more pre-handwriting skills activities which would have made this book worth it.</span>","A bit pricey for the activities on this book, over it's an OK book.",/gp/profile/amzn1.account.AGFDG3JE5PH4QAONRJ26KBRBUTTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Sandy A.,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Great tool to help small children learn to draw shapes and write letters and numbers!  My granddaughter is left-handed so I was having trouble helping her practice writing letters and numbers.  This book takes the child step-by-step in tracing the dotted lines for basic straight lines, then wavy lines, and shapes; and then progresses to writing letters and numbers.  After looking at this book, and trying out the first five pages with her, I have no doubt that she will be writing letters and words on her own by the end of the book. The book also has numbers and counting exercises.  There is even a certificate at the end of the book that you can give the child upon completion.  I will definitely be ordering a 2nd book for my youngest grandchild!</span>",Awesome learning tool!!,/gp/profile/amzn1.account.AFQYOXWOVM733HJYFLNSHDYVWWHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Justthe2ofus,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Good for 3 and 4 yr olds. I had bought the next level up book with all letters and words to trace, and my near 4 yr old was having trouble and told me it was a little hard for her on certain letters. This book has squiggle lines, shapes, zip zags, etc that are easier for pre-k just starting out. Highly recommend as a first step to regular writing. My daughter is really enjoying this book and it isn't too challenging for her.</span>",Highly recommend for pre-k!,/gp/profile/amzn1.account.AF6UXJKNCDIFZCL3JPDPIZ3Q5ZEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Homeschool_Momma_of_Three,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>My four year old son wanted to keep practicing his writing and he likes using workbooks. He is half way done already and he's peachy keen.<br><br>We homeschool. And yes, we know there are many free options/printables, but our children do like these types of workbooks and being able to do them on their own free time. I would recommend this for practice, but it is not something I consider true curriculum.</span>",Perfect for practice.,/gp/profile/amzn1.account.AG4TFCBWW2NRFWQHJ6YBFOLE2UIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
2,Martha Neely,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Ordered this for my almost 4 year old granddaughter.  We started this morning,  we love it!!!</span>",Impressed,/gp/profile/amzn1.account.AHHSQOPK2GWJLTBYSS2WBGV2OEPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Rodrigo Riveros,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>I've bought tons of writing books. Some are very short and not worth the amount of money I paid for them. Some are not well explained, confusing, or not challenging enough. This one is perfect! Long book that could last you all summer long. It has numbers and letters, lots of room for your child to practice A-Z over and over again, in lower case and upper case. Highly recommend it.</span>",Fanstastic book,/gp/profile/amzn1.account.AFEEM6RLTEOR53RFLRE45LD6QFKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Elaine Wallace,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>With the grandchildren in pre-k home we needed something other than tv.  Children need the structure of school. We use this for 15 min in the morning and afternoon (we bought 2 other ones that we also use). This keeps structure and their minds active. It can be wiped clean and reused. It gives us real time together. Worth every penny!!</span>,Worth every penny,/gp/profile/amzn1.account.AH6MKL4J5QZ7UKRC6FHNYWWTBULA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Ashleymarie2384,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>I ordered this for my 3 (almost 4) year old. I homeschool my children, and he wanted a workbook like his older siblings. This definitely fit the bill. The price is great and the activities in the book are perfect for his age/ability level. Thanks to this book, he's learning how to trace letters and numbers! Love it!</span>",Great for preschoolers,/gp/profile/amzn1.account.AGFICHDTEXP2GZOBM6XZMYOJDBBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
1,georgetteq,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",4.0 out of 5 stars,"<span>My only complaint is I wish it were capital letters.  Most kids start with capital letters then go to lower case letters.  Other than that, this is fantastic.</span>",Great,/gp/profile/amzn1.account.AEJK5ZSU76HVQ5I4U4XCOSWILPTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Ola Boom,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>I got a lot of learning material for my 3.5 y/o.  Because of the qarantine, I have to engage and teach, that the ability to write won’t get lost. This one is the best. It is very well made, the paper is thick, if we use a marker it won’t go trough the page. The pictures are bright and colorful. The letters are big, it’s easy to trace. The price is good.</span>","Great quality, thick paper, colorful pictures",/gp/profile/amzn1.account.AE3EKABQBSOKJSDYOBYV6XN3AZRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Soo,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Great beginner book for kids to learn their letters, shapes, and numbers. However, for the price, I noticed the Dollar Tree has the same exact book for $1. If you cannot get to the Dollar Tree, I would recommend buying online. However, much cheaper at the store for $1 versus $7 for the SAME book.</span>",Awesome learning book!,/gp/profile/amzn1.account.AHU46CUZ4U7PA34BEIQGRAPVSN7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Ning and Jose,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",4.0 out of 5 stars,"<span>I like this book for my three years old!  It helps him practice writing skills a lot.  The assignments are well designed for a three years old.  I can his improvement as he practices more.  You can make some copies of the letter ones before he starts, so you can have extra copies for the letters’ practice.</span>",Good practice for a three years old,/gp/profile/amzn1.account.AF3KCBKRLNWV2U33IC3CZQ5IK7PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Langue Master,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>My son finds it difficulty to pay attention to something for a long time, but this book has proved to be a great way to get him to practice his letters. It's made fun from the beginning, since he does not realize he is actually practicing skills useful for letter writing. Great book!</span>",So much better than other writing books for kids!,/gp/profile/amzn1.account.AFDPEWJJP2KI4HQDQR37WLFR6OWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Blanca Robledo,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Got this for my 3 y.o. and I know she'll love it. I got tired of printing pages out. So we can now keep track of progress and go along in order with alphabet and numbers. There is even a certificate at the end of the book, which I know she'll love and will be looking forward to!</span>",Love this workbook,/gp/profile/amzn1.account.AGHPJVNEFO4I72TV54YDHO2A5QSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Amazon Customer,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>I am not a teacher.  With school canceled with little notice, I hit Amazon for good alternatives for home teaching.  I think this is great to get into kids hands early (age 2-3), but will work for kids age 5-6 that may not have the dexterity or coordination developed yet.</span>",I like this.,/gp/profile/amzn1.account.AEGKACHRJFYVJDWURVHA5SVZTIUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Kathy Zhou,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>This book’s quality is thick, kids like to color on the shapes also paper won’t melt from the colors. This is a very good workbook for children who are just beginning to learn to write. They can learn to write shapes, letters and Numbers. I will recommend this book to children who are just beginning to learn.</span>",Good quality,/gp/profile/amzn1.account.AHLLTR3JMHIUD6VDJEAK7CN5EMDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,stephanie,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>We got this for my 3.5 year old son during covid quarantine and he loved it. He called it his “work” and would sit next to my husband and I while we were on our laptops learning his letters. The pictures are fun to color, it’s just the right amount of learning and fun. Highly recommend this book!</span>",Educational fun,/gp/profile/amzn1.account.AHL43Y5VIVO5247ILOZTKYVLGFXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
1,MNmomma22,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",4.0 out of 5 stars,<span>I have a new 4 year old and this book has been great to have during the quarantine to practice our letters. Giving 4 stars because I wish the pages perforated so you could tear them out. It would make it much easier!</span>,Great workbook!,/gp/profile/amzn1.account.AGPLZRWH2FHEKAJETY2OPIFBTHDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Kit lee,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>My toddler isn’t in school she’s one month over the limit so I got this for her and I’m so happy it’s perfect for her skill set and she’s learning really well with it ❤️❤️❤️ Love this book</span>,Best thing I’ve gotten for my child!,/gp/profile/amzn1.account.AEHWQODFEK7OFCDQ3SM34X5CJL4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Ashley,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>My little guy loves this workbook! He is learning all of his letter and numbers and shapes before he heads to Pre-K in the fall! I especially love that he can use a dry Warsaw marker and we just wipe it down and he can use over and over!</span>,Love this workbook!,/gp/profile/amzn1.account.AGN6LUBWSJNV33U4KOHRFYWDI3AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,marco,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>I bought this book for my preschooler. I like the facts that the letters and numbers to trace are really big. There are also pictures for each letter. A nice activity book for young kids.</span>,Good for little ones,/gp/profile/amzn1.account.AH3RYTPBCBBLVXTCPUTCU4Y26AZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
1,Melissa P,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>Great workbook for preschool aged children to trace letters and practice controlling their shapes and lines! This book has a lot of content and was worth the money!!</span>,Great for preschoolers,/gp/profile/amzn1.account.AE3J6ZTSOBNQTLW3PVIIQ2DF6JKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Aaron Colby,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",3.0 out of 5 stars,"<span>Good overall basic writing workbook. Would be better if the pages were perforated so that my little guy didn't have to work around the crease on each page, and I could reuse some pages in dry-erase sheets. Could be more interesting for the age group just learning how to use a writing tool.</span>",Good overall. Could be improved,/gp/profile/amzn1.account.AFUS2Z54YXTY3GBWURQ56RT6QH3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
0,Susanna,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Great book for my preschooler to practice writing letters and numbers. It’s a simple book, but has nice size letters and numbers to trace. The only thing I wish it had was easy tear out pages.</span>",Great for letter writing practice,/gp/profile/amzn1.account.AFFIGEXNNBB6W5GHKGRK32T4MB3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
